Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2008-02-18,8.1,-3.4,2.1374999999999997,52.083333333333336,1.4583333333333333,0.0,4.1,240.70833333333334,0
2008-02-19,7.1,-1.1,3.158333333333333,52.625,11.25,0.0,4.3,230.875,0
2008-02-20,5.9,2.6,4.066666666666666,73.25,70.0,0.0,5.0,237.08333333333334,3
2008-02-21,10.6,0.5,5.3625,67.375,19.875,0.0,4.5,243.125,0
2008-02-22,11.5,-0.7,5.345833333333334,72.91666666666667,36.708333333333336,0.0,5.2,240.5,0
2008-02-23,15.2,-0.2,7.5,64.66666666666667,3.5,0.0,4.5,236.16666666666666,0
2008-02-24,12.0,7.0,9.179166666666667,67.79166666666667,5.75,0.0,4.7,223.83333333333334,0
2008-02-25,10.9,4.5,7.879166666666666,77.125,85.58333333333333,0.0,4.3,213.5,3
2008-02-26,10.6,4.4,7.608333333333333,77.66666666666667,64.25,0.0,5.3,227.20833333333334,1
2008-02-27,12.8,7.2,9.608333333333333,78.58333333333333,77.25,0.1,5.8,236.125,2
2008-02-28,9.3,6.0,8.141666666666667,90.70833333333333,81.04166666666667,0.9,4.9,229.45833333333334,3
2008-02-29,14.9,5.4,9.5875,78.5,60.375,0.0,7.4,241.875,1
2008-03-01,14.6,4.5,8.862499999999999,72.04166666666667,80.625,0.0,10.6,272.2916666666667,3
2008-03-02,17.8,4.6,10.466666666666667,61.708333333333336,24.0,0.0,12.4,274.2916666666667,0
2008-03-03,17.2,4.6,10.433333333333334,54.125,12.541666666666666,0.0,8.9,249.375,0
2008-03-04,8.4,2.4,5.383333333333333,50.291666666666664,42.583333333333336,0.0,10.5,256.0,0
2008-03-05,5.7,0.6,2.8041666666666667,49.416666666666664,72.20833333333333,0.0,12.9,177.70833333333334,3
2008-03-06,6.5,-4.5,1.2791666666666666,51.291666666666664,50.583333333333336,1.4,5.8,181.70833333333334,0
2008-03-07,9.7,1.2,5.595833333333334,71.75,90.54166666666667,4.2,4.7,242.04166666666666,71
2008-03-08,7.9,3.4,5.8500000000000005,90.375,96.08333333333333,1.7000000000000002,6.1,194.25,71
2008-03-09,6.2,4.5,5.320833333333334,96.5,99.41666666666667,4.4,6.0,153.45833333333334,71
2008-03-10,5.7,3.9,4.895833333333333,94.79166666666667,96.16666666666667,8.8,5.2,131.16666666666666,71
2008-03-11,10.0,1.0,5.841666666666666,70.70833333333333,53.541666666666664,1.3,9.4,274.0416666666667,0
2008-03-12,13.6,4.9,8.916666666666666,70.66666666666667,50.0,0.6000000000000001,10.9,262.625,1
2008-03-13,15.1,2.0,8.545833333333333,53.583333333333336,13.458333333333334,0.0,12.1,260.625,0
2008-03-14,16.5,2.7,9.445833333333333,63.791666666666664,15.375,0.0,8.6,229.70833333333334,0
2008-03-15,12.1,2.7,7.854166666666667,80.625,63.458333333333336,0.8,6.5,182.58333333333334,3
2008-03-16,12.1,4.6,8.8875,77.75,45.5,2.5,8.4,249.0,1
2008-03-17,13.2,3.4,8.054166666666667,63.625,22.125,0.0,9.3,283.2083333333333,1
2008-03-18,12.6,1.9,7.104166666666667,64.375,60.416666666666664,1.1,8.8,223.75,3
2008-03-19,6.6,1.6,4.1375,83.66666666666667,70.16666666666667,6.2,6.9,211.125,71
2008-03-20,7.6,-1.9,3.029166666666667,59.291666666666664,17.291666666666668,1.0,9.6,270.5416666666667,0
2008-03-21,7.9,-1.6,3.2875,69.58333333333333,93.79166666666667,7.4,9.1,256.0833333333333,3
2008-03-22,6.5,-0.9,3.2125,55.166666666666664,14.958333333333334,0.0,9.2,279.2916666666667,0
2008-03-23,6.1,-3.8,1.1958333333333333,52.458333333333336,30.5,0.0,8.6,271.0,0
2008-03-24,4.8,-5.0,-0.29583333333333334,49.166666666666664,40.791666666666664,0.1,15.1,283.75,1
2008-03-25,7.4,-1.3,2.9250000000000003,51.625,32.5,0.30000000000000004,10.1,279.3333333333333,0
2008-03-26,9.1,-3.2,3.5208333333333335,58.25,54.958333333333336,0.0,9.4,198.125,1
2008-03-27,7.9,3.7,5.445833333333333,72.66666666666667,74.41666666666667,1.5,5.4,201.54166666666666,3
2008-03-28,11.5,-0.8,6.458333333333333,56.541666666666664,33.583333333333336,0.2,9.6,219.125,1
2008-03-29,15.1,3.4,9.808333333333334,50.541666666666664,10.0,0.0,7.0,225.75,0
2008-03-30,9.5,7.2,8.358333333333333,78.79166666666667,72.41666666666667,3.2,7.8,200.45833333333334,71
2008-03-31,9.2,5.0,7.6000000000000005,88.66666666666667,98.875,7.0,6.6,150.5,71
2008-04-01,16.1,3.1,9.266666666666667,61.375,35.416666666666664,0.0,9.4,226.29166666666666,0
2008-04-02,14.8,2.9,8.795833333333333,62.833333333333336,66.75,0.0,11.7,298.7083333333333,3
2008-04-03,13.3,2.9,8.133333333333333,56.041666666666664,17.708333333333332,0.0,11.1,277.5,0
2008-04-04,12.8,0.0,6.8875,50.041666666666664,9.208333333333334,0.0,9.4,218.33333333333334,0
2008-04-05,13.6,-0.9,6.95,52.5,16.333333333333332,0.0,5.6,211.16666666666666,0
2008-04-06,12.8,1.5,7.4750000000000005,61.708333333333336,38.041666666666664,1.6,6.5,214.375,1
2008-04-07,12.0,0.4,7.020833333333333,47.083333333333336,11.75,0.2,12.1,216.70833333333334,0
2008-04-08,8.2,4.5,6.383333333333333,66.79166666666667,82.91666666666667,0.30000000000000004,5.8,168.125,3
2008-04-09,8.1,4.3,6.229166666666667,91.16666666666667,80.83333333333333,7.199999999999999,6.2,161.70833333333334,3
2008-04-10,10.1,5.3,7.533333333333332,94.45833333333333,94.83333333333333,1.0,5.4,173.5,3
2008-04-11,9.6,7.2,8.429166666666667,95.33333333333333,97.875,6.1,4.8,202.33333333333334,51
2008-04-12,11.5,3.3,7.970833333333334,69.20833333333333,82.20833333333333,5.9,7.6,262.2916666666667,3
2008-04-13,12.3,0.4,6.958333333333333,70.91666666666667,39.125,1.0,9.9,216.45833333333334,1
2008-04-14,10.0,3.5,6.9125000000000005,73.20833333333333,68.41666666666667,5.9,6.5,291.25,51
2008-04-15,11.0,-0.1,5.366666666666667,55.458333333333336,16.25,0.0,10.8,298.75,0
2008-04-16,12.7,-2.0,6.295833333333333,56.625,32.791666666666664,0.0,10.8,184.29166666666666,0
2008-04-17,7.7,5.3,6.416666666666667,83.125,93.20833333333333,9.7,6.5,136.20833333333334,73
2008-04-18,8.8,5.0,6.566666666666666,92.5,99.75,22.1,8.8,178.125,73
2008-04-19,12.0,5.4,8.6,78.125,46.875,2.7,6.6,213.125,1
2008-04-20,9.7,6.2,7.925,91.625,86.91666666666667,12.2,6.3,161.33333333333334,51
2008-04-21,9.8,6.4,7.770833333333333,91.0,99.79166666666667,21.9,7.6,204.33333333333334,73
2008-04-22,14.6,4.5,9.533333333333333,68.70833333333333,72.25,0.0,10.2,283.0833333333333,3
2008-04-23,17.7,4.0,11.2875,66.20833333333333,23.583333333333332,1.0,10.7,219.625,1
2008-04-24,15.8,5.3,10.737499999999999,80.08333333333333,51.75,0.9,6.4,206.70833333333334,1
2008-04-25,19.3,5.1,12.704166666666666,63.75,72.83333333333333,0.0,7.9,224.41666666666666,3
2008-04-26,15.3,7.4,11.908333333333333,78.20833333333333,67.58333333333333,0.8,8.2,173.83333333333334,2
2008-04-27,14.1,9.9,11.908333333333333,83.625,95.04166666666667,1.4000000000000001,6.6,164.29166666666666,3
2008-04-28,13.3,5.1,10.387500000000001,88.16666666666667,88.75,2.2,7.1,187.20833333333334,51
2008-04-29,13.0,8.6,10.733333333333334,86.41666666666667,67.58333333333333,3.9,6.4,182.83333333333334,51
2008-04-30,10.5,7.9,9.345833333333333,95.58333333333333,87.83333333333333,16.2,4.8,114.375,53
2008-05-01,15.9,4.5,10.583333333333334,63.208333333333336,25.791666666666668,0.4,9.0,223.75,0
2008-05-02,18.6,5.2,12.737499999999999,62.666666666666664,39.708333333333336,0.0,7.1,208.20833333333334,0
2008-05-03,20.6,5.6,13.9,71.04166666666667,40.791666666666664,1.0,7.1,208.70833333333334,0
2008-05-04,20.0,8.5,14.4625,80.875,68.54166666666667,3.5,7.4,200.41666666666666,3
2008-05-05,17.2,7.9,12.6875,90.79166666666667,68.41666666666667,12.3,8.3,162.0,1
2008-05-06,17.7,10.2,14.012500000000001,75.5,85.0,2.3,6.6,162.16666666666666,3
2008-05-07,18.0,9.2,14.191666666666668,71.54166666666667,37.625,0.30000000000000004,6.9,186.75,1
2008-05-08,17.7,9.2,14.483333333333334,76.83333333333333,50.75,2.9000000000000004,7.9,197.45833333333334,51
2008-05-09,18.3,8.7,14.25,71.41666666666667,91.16666666666667,0.5,10.1,175.08333333333334,3
2008-05-10,18.2,11.1,15.033333333333333,63.708333333333336,76.20833333333333,0.0,9.8,156.45833333333334,3
2008-05-11,16.9,10.5,13.279166666666667,80.16666666666667,62.583333333333336,5.3,9.1,195.33333333333334,51
2008-05-12,15.3,9.7,12.741666666666667,73.54166666666667,64.25,5.0,8.2,155.66666666666666,51
2008-05-13,17.0,9.8,13.495833333333332,66.91666666666667,86.58333333333333,2.3,7.8,168.29166666666666,51
2008-05-14,19.2,8.3,14.5375,60.25,70.16666666666667,0.2,6.6,206.16666666666666,3
2008-05-15,16.8,10.6,13.7125,74.0,91.33333333333333,3.3000000000000003,7.1,166.83333333333334,3
2008-05-16,16.2,12.0,13.495833333333332,90.45833333333333,89.66666666666667,9.5,5.9,191.79166666666666,51
2008-05-17,15.8,11.0,13.358333333333334,90.75,98.875,4.7,6.3,187.33333333333334,3
2008-05-18,16.4,10.2,13.2875,90.33333333333333,79.375,9.3,6.0,208.08333333333334,3
2008-05-19,18.3,7.7,13.120833333333332,86.125,99.58333333333333,3.7,6.6,183.125,3
2008-05-20,15.7,9.6,13.070833333333333,87.91666666666667,98.16666666666667,11.0,4.7,200.125,53
2008-05-21,15.8,11.7,13.341666666666667,92.125,96.16666666666667,16.5,4.8,174.33333333333334,53
2008-05-22,18.4,11.5,14.358333333333334,80.79166666666667,66.875,3.4000000000000004,6.3,197.20833333333334,51
2008-05-23,18.0,9.3,14.008333333333333,81.875,65.625,4.6000000000000005,5.9,173.79166666666666,51
2008-05-24,16.1,12.8,13.866666666666667,94.83333333333333,99.75,11.5,7.9,133.29166666666666,51
2008-05-25,15.7,12.6,14.170833333333334,95.41666666666667,99.29166666666667,15.3,5.4,156.41666666666666,51
2008-05-26,18.1,12.9,15.079166666666666,94.41666666666667,94.70833333333333,18.5,7.6,141.0,53
2008-05-27,21.0,14.2,16.820833333333333,92.5,88.08333333333333,32.1,10.7,143.66666666666666,51
2008-05-28,19.8,15.1,16.883333333333333,93.33333333333333,97.33333333333333,30.6,6.1,78.375,53
2008-05-29,17.7,14.4,15.816666666666668,96.91666666666667,99.125,64.2,11.3,102.41666666666667,63
2008-05-30,18.9,13.0,15.9,86.04166666666667,89.5,6.3,6.2,172.66666666666666,51
2008-05-31,19.6,11.9,15.704166666666666,87.54166666666667,78.95833333333333,11.799999999999999,7.9,171.70833333333334,51
2008-06-01,19.4,14.8,16.787499999999998,88.75,96.375,3.0,7.4,166.58333333333334,3
2008-06-02,18.7,12.6,15.525,91.79166666666667,84.75,13.2,5.4,196.0,51
2008-06-03,20.1,10.0,15.445833333333333,82.04166666666667,57.25,2.2,6.7,199.5,1
2008-06-04,17.9,10.7,15.075000000000001,86.04166666666667,83.5,9.6,5.5,216.08333333333334,3
2008-06-05,17.4,13.1,15.450000000000001,86.08333333333333,97.75,6.7,5.7,178.83333333333334,51
2008-06-06,19.1,13.5,16.275000000000002,86.33333333333333,91.54166666666667,12.5,6.7,181.70833333333334,51
2008-06-07,17.2,12.6,15.154166666666667,85.75,91.79166666666667,9.5,4.8,212.04166666666666,51
2008-06-08,19.5,11.8,15.641666666666666,87.70833333333333,91.25,8.5,4.3,205.66666666666666,3
2008-06-09,19.6,10.9,15.995833333333332,80.83333333333333,50.791666666666664,1.6,6.8,165.875,2
2008-06-10,20.5,11.1,16.754166666666666,77.375,46.708333333333336,0.1,7.9,200.04166666666666,2
2008-06-11,21.7,11.2,16.854166666666668,80.79166666666667,66.20833333333333,6.2,7.0,227.08333333333334,2
2008-06-12,21.5,11.5,17.454166666666666,77.25,53.625,6.1000000000000005,6.0,204.45833333333334,2
2008-06-13,19.1,12.2,15.779166666666667,73.58333333333333,43.666666666666664,9.6,6.4,181.33333333333334,51
2008-06-14,16.6,11.2,13.695833333333333,84.5,68.83333333333333,10.8,7.6,144.41666666666666,51
2008-06-15,15.9,11.5,13.008333333333333,91.08333333333333,93.04166666666667,8.0,4.7,114.375,51
2008-06-16,14.0,11.8,12.754166666666668,94.41666666666667,99.58333333333333,5.7,5.2,135.0,3
2008-06-17,17.5,12.4,14.966666666666667,92.125,80.625,9.3,7.2,181.41666666666666,51
2008-06-18,22.4,10.6,17.575,77.41666666666667,38.083333333333336,0.0,8.6,185.25,1
2008-06-19,23.7,13.2,19.108333333333334,81.16666666666667,53.5,0.2,7.9,192.83333333333334,2
2008-06-20,25.2,12.4,20.320833333333333,75.875,20.458333333333332,0.9,6.8,199.70833333333334,0
2008-06-21,24.8,14.6,20.408333333333335,84.83333333333333,45.375,2.4,6.8,206.04166666666666,1
2008-06-22,25.8,15.9,21.412499999999998,82.75,51.458333333333336,1.8,7.7,199.29166666666666,1
2008-06-23,26.4,15.2,22.09166666666667,81.75,16.291666666666668,2.4,6.7,171.125,0
2008-06-24,25.4,17.9,22.09583333333333,84.625,64.95833333333333,2.6,7.0,207.79166666666666,2
2008-06-25,25.9,17.5,22.59583333333333,77.95833333333333,24.0,1.9,6.8,186.66666666666666,0
2008-06-26,26.0,16.7,22.775000000000002,78.41666666666667,28.125,5.0,6.0,190.75,0
2008-06-27,27.4,16.4,23.037499999999998,72.54166666666667,32.75,1.2000000000000002,6.0,203.5,1
2008-06-28,25.0,16.6,21.837500000000002,84.33333333333333,48.083333333333336,6.9,8.3,189.41666666666666,1
2008-06-29,25.4,16.2,21.241666666666667,85.375,56.166666666666664,12.4,6.1,217.29166666666666,1
2008-06-30,25.5,15.6,21.016666666666666,83.45833333333333,46.583333333333336,8.5,6.0,213.125,1
2008-07-01,23.1,15.5,19.933333333333334,85.16666666666667,64.75,5.9,7.2,200.54166666666666,2
2008-07-02,24.7,14.6,20.295833333333334,81.91666666666667,53.833333333333336,8.1,7.0,194.75,2
2008-07-03,22.5,17.6,19.933333333333334,85.83333333333333,73.375,14.6,5.1,235.0,51
2008-07-04,25.6,15.3,21.129166666666666,72.41666666666667,16.75,0.0,8.1,201.41666666666666,0
2008-07-05,26.3,14.3,21.900000000000002,75.66666666666667,33.833333333333336,5.6000000000000005,7.9,206.54166666666666,1
2008-07-06,23.1,17.7,20.5625,83.54166666666667,57.125,14.799999999999999,5.0,219.25,53
2008-07-07,24.2,18.1,21.1875,67.54166666666667,28.0,7.3,6.6,243.91666666666666,0
2008-07-08,25.6,13.5,20.333333333333332,56.875,1.75,0.0,8.0,213.375,0
2008-07-09,24.0,12.3,19.516666666666666,73.66666666666667,21.916666666666668,0.1,7.7,192.54166666666666,0
2008-07-10,24.8,14.0,20.104166666666668,83.91666666666667,42.5,3.9,6.8,224.33333333333334,1
2008-07-11,23.7,15.9,20.254166666666666,82.41666666666667,67.125,5.9,6.8,202.33333333333334,51
2008-07-12,23.1,17.3,19.849999999999998,87.625,75.0,23.1,6.6,205.45833333333334,61
2008-07-13,22.5,16.6,19.004166666666666,78.04166666666667,53.625,22.7,4.7,182.33333333333334,61
2008-07-14,22.7,12.3,18.008333333333333,62.333333333333336,29.375,0.0,8.0,224.125,0
2008-07-15,24.8,11.1,19.470833333333335,68.95833333333333,2.5833333333333335,0.0,7.6,197.08333333333334,0
2008-07-16,24.2,13.2,20.287499999999998,80.66666666666667,47.291666666666664,1.1,8.6,155.5,0
2008-07-17,23.4,17.9,20.466666666666665,81.79166666666667,65.625,11.5,6.5,160.5,2
2008-07-18,22.9,16.2,19.858333333333334,79.04166666666667,51.708333333333336,4.2,7.2,169.45833333333334,51
2008-07-19,23.9,15.6,20.233333333333334,84.29166666666667,59.791666666666664,7.5,7.2,148.29166666666666,51
2008-07-20,24.7,17.6,21.216666666666665,76.5,59.125,4.6,5.8,238.625,0
2008-07-21,23.8,14.6,19.583333333333332,61.208333333333336,50.083333333333336,0.0,8.4,218.58333333333334,3
2008-07-22,22.9,11.7,18.0625,62.375,7.083333333333333,0.0,8.7,190.79166666666666,0
2008-07-23,23.0,13.4,19.066666666666666,67.91666666666667,28.875,0.0,8.0,182.83333333333334,1
2008-07-24,25.8,12.7,20.349999999999998,71.25,43.125,0.0,8.0,193.04166666666666,0
2008-07-25,25.3,14.6,21.1375,72.08333333333333,51.375,2.0,6.9,217.20833333333334,1
2008-07-26,24.4,15.3,20.537499999999998,78.04166666666667,46.791666666666664,7.4,6.8,219.41666666666666,0
2008-07-27,23.9,14.6,19.970833333333335,79.125,52.666666666666664,3.1,6.5,183.83333333333334,1
2008-07-28,23.6,14.0,19.7375,87.125,59.625,7.6000000000000005,4.6,183.0,2
2008-07-29,25.0,14.8,20.904166666666665,80.70833333333333,68.08333333333333,6.1,4.7,210.33333333333334,3
2008-07-30,26.2,15.7,21.4875,80.75,51.708333333333336,6.8,6.8,228.04166666666666,2
2008-07-31,26.2,15.6,21.724999999999998,80.375,37.166666666666664,7.4,6.3,206.375,0
2008-08-01,26.1,16.1,21.558333333333334,79.0,80.04166666666667,5.0,6.0,231.54166666666666,3
2008-08-02,25.8,14.2,20.816666666666666,78.625,18.958333333333332,3.3000000000000003,7.2,196.83333333333334,0
2008-08-03,27.3,15.6,22.425,76.625,16.666666666666668,1.4,7.6,188.16666666666666,0
2008-08-04,30.4,16.0,24.05,65.25,28.125,0.1,6.2,206.5,0
2008-08-05,29.1,17.5,24.308333333333334,67.54166666666667,17.041666666666668,0.2,7.4,204.95833333333334,0
2008-08-06,24.3,18.2,21.575,85.91666666666667,63.666666666666664,19.4,7.4,180.29166666666666,2
2008-08-07,25.2,16.7,20.958333333333332,86.58333333333333,53.125,12.1,5.6,189.70833333333334,1
2008-08-08,26.3,17.4,22.1125,59.583333333333336,20.5,0.5,8.9,211.20833333333334,0
2008-08-09,25.2,13.0,20.058333333333334,63.416666666666664,27.25,0.0,7.3,195.41666666666666,0
2008-08-10,24.9,15.9,20.683333333333334,69.375,41.708333333333336,0.0,8.2,176.04166666666666,2
2008-08-11,22.0,15.5,19.316666666666666,83.66666666666667,64.16666666666667,9.1,6.6,184.29166666666666,2
2008-08-12,22.5,17.4,19.733333333333334,89.125,75.04166666666667,5.1,5.6,148.83333333333334,51
2008-08-13,25.5,14.9,21.258333333333333,75.0,25.791666666666668,1.7,7.1,178.83333333333334,0
2008-08-14,23.3,16.7,19.825,81.41666666666667,66.58333333333333,12.2,6.4,194.54166666666666,51
2008-08-15,20.7,14.3,17.754166666666666,71.95833333333333,63.125,7.2,8.2,257.8333333333333,3
2008-08-16,22.1,10.9,17.020833333333332,67.58333333333333,55.333333333333336,1.7,9.2,209.33333333333334,0
2008-08-17,21.3,12.9,17.558333333333334,77.16666666666667,30.791666666666668,2.3,6.6,186.25,0
2008-08-18,22.0,12.5,17.991666666666667,82.54166666666667,64.08333333333333,0.0,7.4,178.16666666666666,2
2008-08-19,22.0,15.8,19.354166666666668,86.04166666666667,60.875,4.1,6.5,190.66666666666666,2
2008-08-20,24.5,13.9,20.358333333333334,76.5,39.125,0.0,7.0,169.29166666666666,0
2008-08-21,22.7,16.5,19.920833333333334,85.0,68.125,7.4,8.1,182.33333333333334,53
2008-08-22,23.2,14.3,19.2625,83.375,65.0,7.8,6.6,214.54166666666666,2
2008-08-23,23.3,13.8,18.920833333333334,63.916666666666664,20.125,0.0,8.8,228.79166666666666,0
2008-08-24,22.3,9.7,17.150000000000002,72.91666666666667,30.708333333333332,1.3,9.4,189.20833333333334,0
2008-08-25,21.4,13.7,17.73333333333333,84.625,82.04166666666667,7.800000000000001,5.5,222.25,53
2008-08-26,23.1,12.2,18.708333333333332,75.125,29.75,0.0,6.6,197.54166666666666,0
2008-08-27,23.2,14.0,19.316666666666666,79.0,38.0,3.5,5.6,204.45833333333334,51
2008-08-28,24.7,13.3,19.979166666666668,78.91666666666667,29.291666666666668,1.2,5.2,207.25,1
2008-08-29,26.6,13.4,20.945833333333333,75.29166666666667,21.458333333333332,0.0,7.4,204.54166666666666,0
2008-08-30,25.9,15.0,20.787499999999998,81.08333333333333,35.5,2.4,7.9,212.29166666666666,0
2008-08-31,23.0,16.1,19.495833333333334,85.58333333333333,88.75,8.8,6.4,206.95833333333334,3
2008-09-01,22.2,16.0,18.945833333333333,82.875,56.416666666666664,11.4,6.1,189.125,53
