assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_613,,,148.37349,-36.38358
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_774,,,148.27242,-36.52475
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1959,-108.521088,37.173526
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,ANIC,,,148.3363914,-36.44274447
196180248,190500977,Thaumatoperla alpina,1,1,1,Julia Mynott,2020,National Environmental Science Program (NESP),Extant (resident),,,McKay Upper,,,,,,147.261467,-36.870533
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_761,,,148.27686,-36.50389
22484143,22483710,Acacia alpina,1,1,1,IUCN,2016,,Extant (resident),,,,,,,,,148.8667,-35.7333
196180248,190500977,Thaumatoperla alpina,1,1,1,Julia Mynott,2020,National Environmental Science Program (NESP),Extant (resident),,,SaltCampCreek - Fainter south,,,,,,147.20193,-36.86083
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1967,-110.67,35.92
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2010,-111.610958,36.880381
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2004,-109.151944,36.486389
196180248,190500977,Thaumatoperla alpina,1,1,1,Julia Mynott,2020,National Environmental Science Program (NESP),Extant (resident),,,Trib of Pretty Valley Creek on Bogong High Plains Rd,,,,,,147.224338,-36.811487
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_847,,,148.26794,-36.51242
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2012,-111.820314,36.814451
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1937,-109.438465,35.83317
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1937,-110.985205,35.929623
22484143,22483710,Acacia alpina,1,1,1,IUCN,2016,,Extant (resident),,,,,,,,,147.0833,-37.0083
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,0,-111.617357,36.780196
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_647,,,148.29501,-36.49594
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2008,-111.708984,36.790591
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2006,-111.884317,36.732483
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,1973,-107.6786,36.7119
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2011,-111.896981,36.958631
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_636,,,148.37639,-36.38298
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_811,,,148.27047,-36.51633
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_816,,,148.27047,-36.51633
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_714,,,148.29953,-36.50319
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2003,-111.9865,36.88283
22484143,22483710,Acacia alpina,1,1,1,IUCN,2016,,Extant (resident),,,,,,,,,147.595,-37.129722
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_734,,,148.29558,-36.49892
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_772,,,148.27694,-36.50197
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident),baileyi,,,,,DBG Seinet 2018,PreservedSpecimen,2006,-108.0060167,36.8353333
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_777,,,148.27242,-36.52475
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_627,,,148.37639,-36.38298
117469952,117423069,Yucca baileyi,1,1,1,Raul Puente and Barbara Goettsch,2018,IUCN RL Agave and Yucca workshop,Extant (resident), ,,,,,DBG Seinet 2018,PreservedSpecimen,2012,-111.77065,36.78371
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,TAMUIC-IGC-002046,,,148.38507,-36.30508
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_689,,,148.27317,-36.522
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_692,,,148.27317,-36.522
212099065,209399685,Kosciuscola tristis,1,1,1,Kate Umbers,2020,National Environmental Science Program (NESP),Extant (resident),tristis,,,,,KT_1_603,,,148.37637,-36.38347
196180248,190500977,Thaumatoperla alpina,1,1,1,Julia Mynott,2020,National Environmental Science Program (NESP),Extant (resident),,,McKay1,,,,,,147.256433,-36.8705
